SubNo,Chapter,Level,PassedFlag,TimeSpent
20,1,4,1,7.61661624908447
20,2,1,1,510.273956298828
20,2,2,1,28.9162826538086
20,2,3,1,16.9499969482422
20,2,4,1,164.523025512695
20,2,5,1,32.4827117919922
20,3,1,1,282.757751464844
20,3,2,1,166.689575195312
20,3,3,1,658.916748046875
21,1,1,1,14.6666679382324
21,1,2,1,312.606536865234
21,1,3,1,17.7666263580322
21,1,4,1,10.8498954772949
21,2,1,1,173.087112426758
21,2,2,1,21.7998809814453
21,2,3,1,23.9997463226318
21,2,4,1,41.5330047607422
21,2,5,1,21.9664764404297
21,3,1,1,166.420837402344
21,3,2,1,153.073913574219
21,3,3,1,1442.57116699219
22,1,1,1,20.5164451599121
22,1,2,1,220.915008544922
22,1,3,1,29.8495025634766
22,1,4,1,12.050012588501
22,2,1,1,1049.19604492188
22,2,2,1,32.1494255065918
22,2,3,1,20.1999111175537
22,2,4,1,269.234802246094
22,2,5,1,403.053466796875
22,3,1,1,107.828773498535
22,3,2,1,1159.08447265625
22,3,3,0,534.901306152344
23,1,1,1,13.9668636322021
23,1,2,1,164.089767456055
23,1,3,1,26.5331439971924
23,1,4,1,10.61669921875
23,2,1,1,389.897033691406
23,2,2,1,26.9664173126221
23,2,3,1,26.4997138977051
23,2,4,1,169.206161499023
23,2,5,1,58.6506500244141
23,3,1,1,119.744918823242
23,3,2,1,429.578552246094
23,3,3,1,747.923034667969
24,1,1,1,16.7334213256836
24,1,2,1,359.852386474609
24,1,3,1,55.9007911682129
24,1,4,1,22.283088684082
24,2,1,1,346.459136962891
24,2,2,1,78.599365234375
24,2,3,1,31.6328601837158
24,2,4,1,242.630950927734
24,2,5,1,339.715515136719
24,3,1,1,314.108093261719
24,3,2,1,309.893035888672
24,3,3,1,1135.63122558594
25,1,1,1,10.7667646408081
25,1,2,1,120.344749450684
25,1,3,1,35.5831108093262
25,1,4,1,14.4834070205688
25,2,1,1,223.033416748047
25,2,2,1,33.6838188171387
25,2,3,1,22.7499237060547
25,2,4,1,306.389465332031
25,2,5,1,23.7497711181641
25,3,1,1,166.889419555664
25,3,2,1,251.479400634766
25,3,3,1,97.2137985229492
26,1,1,1,31.3994216918945
26,1,2,1,37.4830856323242
26,1,3,1,19.3833637237549
26,1,4,1,8.46670627593994
26,2,1,1,604.964782714844
26,2,2,1,25.4164180755615
26,2,3,1,19.4333953857422
26,2,4,1,127.977127075195
26,2,5,1,249.229995727539
26,3,1,1,80.8656539916992
26,3,2,1,131.293029785156
26,3,3,1,225.681182861328
27,1,1,1,94.73342
27,1,2,1,173.039001464844
27,1,3,1,18.0999546051025
27,1,4,1,15.2333879470825
27,2,1,1,172.071792602539
27,2,2,1,26.9663372039795
27,2,3,1,19.049976348877
27,2,4,1,40.9999504089355
27,2,5,1,222.91535949707
27,3,1,1,134.792190551758
27,3,2,1,133.092803955078
27,3,3,1,212.684127807617
28,1,1,1,13.76673412323
28,1,2,1,46.0168838500977
28,1,3,1,14.9335994720459
28,1,4,1,14.6833610534668
28,2,1,1,137.942626953125
28,2,2,1,26.6330909729004
28,2,3,1,16.0834426879883
28,2,4,1,56.8673095703125
28,2,5,1,278.374237060547
28,3,1,1,74.0164794921875
28,3,2,1,231.814392089844
28,3,3,1,163.405944824219
29,1,1,1,26.88307762146
29,1,2,1,433.669769287109
29,1,3,1,45.4667625427246
29,1,4,1,18.9665756225586
29,2,1,1,1258.53198242188
29,2,2,1,97.0137100219727
29,2,3,1,52.1337928771973
29,2,4,1,561.644226074219
29,2,5,1,239.213439941406
29,3,1,0,1803.30712890625
30,1,1,1,39.6165657043457
30,1,2,1,285.395172119141
30,1,3,1,13.600133895874
30,1,4,1,15.850133895874
30,2,1,1,659.740173339844
30,2,2,1,25.9663600921631
30,2,3,1,20.1165962219238
30,2,4,1,184.504043579102
30,2,5,1,95.8476104736328
30,3,1,1,245.129165649414
30,3,2,1,660.338012695312
30,3,3,0,896.783752441406
31,1,1,1,34.833065032959
31,1,2,1,94.7474746704102
31,1,3,1,70.133674621582
31,1,4,1,11.8666772842407
31,2,1,1,263.948669433594
31,2,2,1,30.7496204376221
31,2,3,1,13.8667640686035
31,2,4,1,51.8841133117676
31,2,5,1,44.633430480957
31,3,1,1,103.229797363281
31,3,2,1,266.634368896484
31,3,3,1,256.712463378906
32,1,1,1,20.6999549865723
32,1,2,1,888.609497070312
32,1,3,1,24.2498645782471
32,1,4,1,24.1164627075195
32,2,1,1,1417.49279785156
32,2,2,1,31.1495246887207
32,2,3,1,25.6830654144287
32,2,4,1,57.6841621398926
32,2,5,1,47.6834869384766
32,3,1,1,132.726196289062
32,3,2,1,185.587036132812
32,3,3,1,79.3327178955078
33,1,1,1,7.86664819717407
33,1,2,1,301.985412597656
33,1,3,1,20.4832630157471
33,1,4,1,5.60003471374512
33,2,1,1,150.242004394531
33,2,2,1,60.7176246643066
33,2,3,1,26.1330528259277
33,2,4,1,87.5485382080078
33,2,5,1,19.9332656860352
33,3,1,1,94.6309356689453
33,3,2,1,121.394248962402
33,3,3,1,157.773574829102
34,1,1,1,62.5177192687988
34,1,2,1,341.187744140625
34,1,3,1,36.7663726806641
34,1,4,1,23.199893951416
34,2,1,1,264.90185546875
34,2,2,1,44.6334648132324
34,2,3,1,17.8833656311035
34,2,4,1,169.205551147461
34,2,5,1,239.86311340332
34,3,1,1,1091.24853515625
34,3,2,1,661.280883789062
34,3,3,0,50.4170227050781
35,1,1,1,35.5831260681152
35,1,2,1,380.825622558594
35,1,3,1,45.5166931152344
35,1,4,1,10.6000194549561
35,2,1,1,556.08984375
35,2,2,1,42.6999473571777
35,2,3,1,16.0667152404785
35,2,4,1,124.427177429199
35,2,5,1,36.5663070678711
35,3,1,1,496.140289306641
